Clave entidad,Entidad,CVE_MUN,Municipio,Población 2015,Población 2020,Población en situación de pobreza 2010,Población en situación de pobreza 2015,Población en situación de pobreza 2020,Población con ingreso inferior a la línea de pobreza por ingresos 2010,Población con ingreso inferior a la línea de pobreza por ingresos 2015,Población con ingreso inferior a la línea de pobreza por ingresos 2020,Población con carencia por rezago educativo 2010,Población con carencia por rezago educativo 2015,Población con carencia por rezago educativo 2020,Población con carencia por acceso a los servicios de salud 2010,Población con carencia por acceso a los servicios de salud 2015,Población con carencia por acceso a los servicios de salud 2020,Población con carencia por acceso a la seguridad social 2010,Población con carencia por acceso a la seguridad social 2015,Población con carencia por acceso a la seguridad social 2020,Población con carencia por calidad y espacios de la vivienda 2010,Población con carencia por calidad y espacios de la vivienda 2015,Población con carencia por calidad y espacios de la vivienda 2020,Población con carencia por acceso a los servicios básicos en la vivienda 2010,Población con carencia por acceso a los servicios básicos en la vivienda 2015,Población con carencia por acceso a los servicios básicos en la vivienda 2020,Población con carencia por acceso a la alimentación 2010,Población con carencia por acceso a la alimentación 2015,Población con carencia por acceso a la alimentación 2020
21,Puebla,001,Acajete,23481,27615,77.288921,83.052381,89.813324,78.638938,84.579193,92.213734,13.411938,13.169484,10.809938,25.681521,15.027076,25.452914,93.023155,94.105436,93.193606,13.676276,16.019385,14.155613,44.016468,29.650527,40.065359,35.472532,30.287091,45.985987
21,Puebla,002,Acateno,3098,2880,76.65603,83.435581,78.363162,76.85974,83.854924,79.196031,14.06308,11.789622,9.331476,36.400742,13.236851,19.533426,97.625232,97.034945,95.961003,48.051948,38.933992,31.302228,58.589981,68.125662,53.655989,25.046382,18.884575,13.753482
21,Puebla,003,Acatlán,11075,12639,75.392223,72.748442,77.446046,77.208291,76.806408,80.429988,10.262934,5.072472,6.922375,26.431687,9.882283,19.277724,83.430457,86.172805,88.210932,23.662805,14.562414,15.292054,62.686955,40.841416,50.771795,35.9476,20.843031,34.046382
21,Puebla,004,Acatzingo,20009,22840,77.184066,84.165403,90.036874,79.811226,84.803814,91.588895,17.734859,15.767747,16.571493,49.4315,24.515928,39.011427,91.396755,96.539252,96.492391,23.078508,20.336976,14.182612,28.428467,32.353003,27.993155,24.02789,32.305986,31.364602
21,Puebla,005,Acteopan,895,808,84.330517,87.609819,93.578358,84.330517,87.611111,93.593284,15.100317,8.010336,7.338308,31.151003,6.072351,6.716418,99.894403,99.870801,98.880597,36.008448,34.108527,32.462687,97.993664,86.434109,80.970149,16.789863,39.664083,45.149254
21,Puebla,006,Ahuacatlán,5493,4384,89.904377,79.279757,79.329043,90.058265,80.209261,83.925431,9.557097,5.705323,5.086494,15.572188,2.887701,6.02234,98.885869,93.723103,78.444367,45.643,31.025455,24.146651,73.496285,72.728086,64.703156,73.657234,11.185014,21.040443
21,Puebla,007,Ahuatlán,1233,1118,88.478226,95.805109,90.606631,88.478226,95.805109,90.810036,12.589074,8.325449,10.125448,31.749802,7.000946,5.555556,99.683294,99.905393,99.551971,38.163104,33.491012,30.107527,90.419636,82.592242,47.132616,49.326999,28.476821,41.666667
21,Puebla,008,Ahuazotepec,5011,4423,71.685007,61.399954,68.919214,74.04107,63.995466,72.19179,7.973381,6.103139,8.157478,45.189223,15.987258,39.163406,89.37369,88.399538,88.350225,17.033954,10.440416,9.718053,52.156137,25.446486,25.631632,30.483006,23.417454,35.366036
21,Puebla,009,Ahuehuetitla,585,714,69.39576,90.562152,77.788873,70.418728,91.074212,77.907275,10.24735,6.864564,10.128388,65.017668,9.833024,13.552068,93.992933,97.402597,96.291013,34.805654,30.612245,22.96719,53.886926,66.048237,42.368046,41.166078,14.285714,24.821683
21,Puebla,010,Ajalpan,22588,25829,82.270202,83.852731,86.429586,84.706056,84.994479,87.737712,20.443753,20.199118,16.600362,50.846584,9.012741,28.69372,91.415242,94.174972,91.670383,45.686629,40.673879,31.539781,71.185664,63.299101,62.52952,54.744638,22.511357,31.930054
21,Puebla,011,Albino Zertuche,654,659,89.361301,86.659284,83.542813,90.85274,86.989779,83.701835,17.465753,12.436116,14.067278,25.684932,5.962521,20.336391,94.349315,99.318569,98.929664,28.253425,21.465077,19.877676,42.979452,79.897785,43.730887,24.657534,31.175468,22.629969
21,Puebla,012,Aljojuca,2046,1977,82.575731,87.602369,85.977387,87.858864,88.077834,90.338191,15.834768,9.080654,10.40201,64.888124,17.202482,17.035176,90.017212,98.138748,90,20.998279,21.150592,13.61809,16.179002,20.981387,16.733668,16.609294,31.246475,17.386935
21,Puebla,013,Altepexi,8176,7834,69.854801,77.846221,86.796991,72.785361,80.234195,90.634215,23.217169,17.554833,18.388816,60.932149,21.460894,36.961985,85.853455,87.923793,88.740825,28.477267,26.375746,20.065068,36.012678,43.102745,39.848736,26.107562,29.118645,46.118346
